Spectral	N	   N	      D		D
Feature	      start	  end	    start      end

Ca K          3923.7     3943.7     3943.7    3953.7   
H $ delta$    4086.7     4116.7     4136.7    4176.7   
Ca I 4227     4216.7     4236.7     4236.7    4256.7   
G band        4285.0     4315.0     4260.0    4285.0   
H $ gamma$    4332.5     4347.5     4355.0    4370.0   
Fe I 4383     4378.6     4388.6     4355.0    4370.0    
Fe I 4405     4399.8     4409.8     4414.8    4424.8   
BlueColor     6100.0     6300.0     4500.0    4700.0   
H $ beta$     4847.0     4877.0     4817.0    4847.0   
Mg I 5172     5152.7     5192.7     5100.0    5150.0   
Na D          5880.0     5905.0     5910.0    5935.0   
Ca I 6162     6150.0     6175.0     6120.0    6145.0   
H $ alpha$    6548.0     6578.0     6583.0    6613.0   
CaH 3         6960.0     6990.0     7042.0    7046.0   
TiO 5         7126.0     7135.0     7042.0    7046.0   
VO 7434       7430.0     7470.0     7550.0    7570.0   
VO 7912       7900.0     7980.0     8100.0    8150.0   
Na I 8189     8177.0     8201.0     8151.0    8175.0   
TiO B         8400.0     8415.0     8455.0    8470.0   
TiO 8440      8440.0     8470.0     8400.0    8420.0   
Ca II 8498    8483.0     8513.0     8513.0    8543.0   
CrH-a         8580.0     8600.0     8621.0    8641.0   
Ca II 8662    8650.0     8675.0     8625.0    8650.0   
Fe I 8689     8684.0     8694.0     8664.0    8674.0   
Color-1       8900.0     9100.0     7350.0    7550.0   
